Day,Sold Units,Restocked Units,Available Units
0,0,2000,2000
1,86,0,1914
2,170,0,1744
3,126,0,1618
4,1,0,1617
5,22,0,1595
6,177,0,1418
7,0,582,2000
8,106,0,1894
9,199,0,1695
10,140,0,1555
11,21,0,1534
12,163,0,1371
13,181,0,1190
14,0,810,2000
15,59,0,1941
16,102,0,1839
17,20,0,1819
18,172,0,1647
19,28,0,1619
20,91,0,1528
21,0,472,2000
22,180,0,1820
23,28,0,1792
24,73,0,1719
25,70,0,1649
26,166,0,1483
27,197,0,1286
28,0,714,2000
29,173,0,1827
30,102,0,1725
31,32,0,1693
32,160,0,1533
33,41,0,1492
34,126,0,1366
35,0,634,2000
36,58,0,1942
37,165,0,1777
38,164,0,1613
39,198,0,1415
40,79,0,1336
41,103,0,1233
42,0,767,2000
43,11,0,1989
44,73,0,1916
45,167,0,1749
46,146,0,1603
47,154,0,1449
48,92,0,1357
49,0,643,2000
